trial_id,c_npmi,topic_diversity,outlier_rate,n_topics,r1,r2,r3,n_topics_penalty,rank_sum
trial_00,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,0.8,7.0
trial_01,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,0.8,7.0
trial_10,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,0.8,7.0
trial_11,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,0.8,7.0
trial_13,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,0.8,7.0
trial_16,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,0.8,12.0
trial_29,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,0.8,12.0
trial_37,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,0.8,12.0
trial_38,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,0.8,12.0
trial_20,-0.13173657708417563,0.7,0.0,2,6.0,38.0,1.0,0.8,49.0
trial_21,-0.13173657708417563,0.7,0.0,2,6.0,38.0,1.0,0.8,49.0
trial_33,-0.13173657708417563,0.7,0.0,2,6.0,38.0,1.0,0.8,49.0
trial_24,-0.16628372587895415,0.7818181818181819,0.14420803782505912,11,15.0,34.0,14.0,0.0,63.0
trial_05,-0.2121615816350058,0.9090909090909091,0.14657210401891252,23,26.0,22.0,15.0,0.0,63.0
trial_26,-0.1810713647662368,0.9166666666666666,0.3640661938534279,18,19.0,17.0,32.0,0.0,68.0
trial_06,-0.18459748009278573,0.7647058823529411,0.11347517730496454,18,20.0,36.0,13.0,0.0,69.0
trial_36,-0.23271815510688543,0.93125,0.2789598108747045,16,31.0,14.0,24.0,0.0,69.0
trial_31,-0.1388832865677458,0.7777777777777778,0.25059101654846333,9,13.0,35.0,23.0,0.1,71.5
trial_07,-0.22725834491092922,0.8923076923076924,0.1702127659574468,27,29.0,27.0,16.0,0.0,72.0
trial_18,-0.18681757697402013,0.8,0.2198581560283688,10,21.0,33.0,19.0,0.0,73.0
trial_17,-0.17216175750472057,0.8875,0.28132387706855794,8,17.0,31.0,25.0,0.2,74.0
trial_32,-0.22901313924147265,0.8974358974358975,0.20803782505910165,39,30.0,26.0,18.0,0.0,74.0
trial_03,-0.26363475378187246,0.9133333333333333,0.2293144208037825,31,35.0,19.0,20.0,0.0,74.0
trial_04,-0.2645175032954195,0.9133333333333333,0.2293144208037825,31,36.0,19.0,20.0,0.0,75.0
trial_30,-0.14846518644274728,0.9,0.49645390070921985,8,14.0,23.0,39.0,0.2,77.0
trial_23,-0.1789208497740309,0.8909090909090909,0.32860520094562645,11,18.0,29.0,30.0,0.0,77.0
trial_27,-0.22344341741727905,0.92,0.3806146572104019,15,27.0,15.0,35.0,0.0,77.0
trial_28,-0.22344341741727905,0.92,0.3806146572104019,15,27.0,15.0,35.0,0.0,77.0
trial_15,-0.267536047200984,0.9,0.19621749408983452,25,37.0,23.0,17.0,0.0,77.0
trial_19,-0.2000975474870876,0.9136363636363637,0.39243498817966904,22,23.0,18.0,37.0,0.0,78.0
trial_34,-0.20154718276059153,0.8913043478260869,0.30260047281323876,23,24.0,28.0,26.0,0.0,78.0
trial_35,-0.2038389018851547,0.9,0.3333333333333333,23,25.0,23.0,31.0,0.0,79.0
trial_14,-0.29284022088173467,0.9444444444444444,0.3120567375886525,9,39.0,12.0,28.0,0.1,79.5
trial_02,-0.25302996081359413,0.95,0.36879432624113473,4,33.0,11.0,33.0,0.6,80.0
trial_39,-0.19894613365312155,0.7636363636363637,0.23404255319148937,11,22.0,37.0,22.0,0.0,81.0
trial_09,-0.26102174887787966,0.9111111111111111,0.3073286052009456,9,34.0,21.0,27.0,0.1,82.5
trial_22,-0.1684969695514918,0.85,0.37825059101654845,8,16.0,32.0,34.0,0.2,83.0
trial_25,-0.24194597963358305,0.98,0.6264775413711584,5,32.0,10.0,40.0,0.5,84.5
trial_12,-0.3103773384762153,0.9375,0.4373522458628842,8,40.0,13.0,38.0,0.2,92.0
trial_08,-0.2731906031638628,0.89,0.3120567375886525,10,38.0,30.0,28.0,0.0,96.0
